Date,Rainfall (mm),Consecutive_Rainy_Days,Dry_Spell_Duration,Daily_Rainfall_Anomaly
1901-06-05,0.0,0,8,-0.7790322582567891
1901-06-06,0.0,0,9,-1.6233870967741937
1901-06-07,0.0,0,10,-1.5040322584490624
1901-06-08,0.0,0,11,-1.5209677419354841
1901-06-09,0.0,0,12,-0.9790322596027005
1901-06-10,0.1,1,0,-0.6056451612903226
1901-06-11,0.0,0,1,-1.7419354838709677
1901-06-12,0.0,0,2,-1.6169354836786947
1901-06-13,0.0,0,3,-1.7346774193548387
1901-06-14,0.0,0,4,-2.0556451612903226
1901-06-15,0.0,0,5,-1.3338709677419356
1901-06-16,0.0,0,6,-0.8008064516129032
1901-06-17,0.6,1,0,-0.813709677419355
1901-06-18,0.0,0,1,-1.471774193548387
1901-06-19,0.0,0,2,-1.0233870967741936
1901-06-20,0.0,0,3,-0.9427419355079051
1901-06-21,0.0,0,4,-0.7701612910916728
1901-06-22,0.0,0,5,-0.9854838709677419
1901-06-23,0.0,0,6,-0.9483870967741935
1901-06-24,0.0,0,7,-1.2919354838709676
1901-06-25,0.0,0,8,-0.7459677411663918
1901-06-26,0.0,0,9,-0.5967741935483871
1901-06-27,0.0,0,10,-0.7508064516129032
1901-06-28,0.0,0,11,-0.7862903225806451
1901-06-29,0.0,0,12,-0.7387096774193548
1901-06-30,0.4,1,0,-0.3798387096774194
1901-07-01,0.3,2,0,-0.7524193548387097
1901-07-02,0.6,3,0,-1.1717741966247557
1901-07-03,0.0,0,1,-1.0790322580885503
1901-07-04,0.0,0,2,-2.15241935483871
1901-07-05,0.0,0,3,-1.689516129032258
1901-07-06,0.0,0,4,-1.6274193548387097
1901-07-07,0.0,0,5,-1.9661290322700817
1901-07-08,0.0,0,6,-2.268548387096774
1901-07-09,0.0,0,7,-0.5379032256141786
1901-07-10,4.2,1,0,2.695161290322581
1901-07-11,0.1,2,0,-1.1379032258064514
1901-07-12,0.0,0,1,-1.6483870967741936
1901-07-13,2.3,1,0,0.8298387096774191
1901-07-14,0.0,0,1,-1.4580645163213053
1901-07-15,0.1,1,0,-1.87258064516129
1901-07-16,0.0,0,1,-1.2983870967741935
1901-07-17,0.0,0,2,-1.2838709677659697
1901-07-18,0.4,1,0,-1.942741935483871
1901-07-19,0.0,0,1,-1.1879032258064517
1901-07-20,0.0,0,2,-0.8943548387096775
1901-07-21,0.1,1,0,-1.2653225806451613
1901-07-22,0.0,0,1,-1.7266129032258064
1901-07-23,0.0,0,2,-1.2862903225806452
1901-07-24,0.0,0,3,-2.5161290322580645
1901-07-25,3.5,1,0,0.8032258064516129
1901-07-26,0.1,2,0,-1.5201612903225805
1901-07-27,0.0,0,1,-1.7427419352915978
1901-07-28,0.0,0,2,-1.8741935483870968
1901-07-29,0.0,0,3,-1.8016129032258066
1901-07-30,0.0,0,4,-1.7201612903225805
1901-07-31,0.0,0,5,-1.1524193548387098
1901-08-01,33.4,1,0,30.927419354838708
1901-08-02,0.1,2,0,-2.3854838709677417
1901-08-03,0.0,0,1,-0.8120967741935484
1901-08-04,0.0,0,2,-1.3048387096774194
1901-08-05,0.0,0,3,-1.6943548387096774
1901-08-06,0.0,0,4,-2.0370967757317326
1901-08-07,0.0,0,5,-2.514516129224531
1901-08-08,0.1,1,0,-0.9153225821833456
1901-08-09,0.0,0,1,-2.2354838694295576
1901-08-10,0.0,0,2,-2.475806450074719
1901-08-11,0.0,0,3,-2.075806451612903
1901-08-12,0.0,0,4,-2.6491935491561893
1901-08-13,0.0,0,5,-3.6919354838709677
1901-08-14,0.0,0,6,-1.9830645161290323
1901-08-15,0.4,1,0,-1.3838709677419354
1901-08-16,0.7,2,0,-1.2935483871208084
1901-08-17,4.0,3,0,0.6774193548387095
1901-08-18,0.0,0,1,-3.0862903226287135
1901-08-19,0.0,0,2,-3.001612903273875
1901-08-20,0.0,0,3,-2.5370967742416166
1901-08-21,0.0,0,4,-3.8766129034180796
1901-08-22,0.0,0,5,-3.8733870965819204
1901-08-23,0.0,0,6,-4.494354838805814
1901-08-24,0.0,0,7,-2.9379032258064517
1901-08-25,0.0,0,8,-2.3306451612903225
1901-08-26,0.0,0,9,-2.203225806451613
1901-08-27,1.9,1,0,-2.2419354838709684
1901-08-28,0.0,0,1,-2.541935483870968
1901-08-29,1.4,1,0,-0.9629032258064516
1901-08-30,0.3,2,0,-2.338709677419355
1901-08-31,0.4,3,0,-3.0120967741935485
1901-09-01,0.0,0,1,-4.0717741935483875
1901-09-02,0.0,0,2,-2.7629032259987247
1901-09-03,0.0,0,3,-2.075806451612903
1901-09-04,0.0,0,4,-2.796774193548387
1901-09-05,0.0,0,5,-2.4685483872890472
1901-09-06,0.0,0,6,-2.112096774193548
1901-09-07,18.3,1,0,15.01209677419355
1901-09-08,1.7,2,0,-1.526612903225807
1901-09-09,3.6,3,0,1.5193548390942238
1901-09-10,0.0,0,1,-3.1524193548387096
1901-09-11,4.2,1,0,1.4580645153599399
1901-09-12,7.6,2,0,3.843548387096774
1901-09-13,27.2,3,0,25.309677419739383
1901-09-14,0.0,0,1,-1.7870967741935484
1901-09-15,3.3,1,0,0.8250000000000002
1901-09-16,7.2,2,0,5.143548387000638
1901-09-17,0.8,3,0,-2.9000000000000004
1901-09-18,0.8,4,0,-1.9161290322580646
1901-09-19,0.0,0,1,-2.2096774193548385
1901-09-20,0.0,0,2,-3.2750000000000004
1901-09-21,0.0,0,3,-3.416129032258065
1901-09-22,0.0,0,4,-2.091935483870968
1901-09-23,0.0,0,5,-2.4749999999999996
1901-09-24,0.0,0,6,-2.5580645161290323
1901-09-25,0.4,1,0,-2.4370967741935488
1901-09-26,8.7,2,0,3.783870967741935
1901-09-27,0.0,0,1,-2.835483870967742
1901-09-28,0.0,0,2,-2.942741935483871
1901-09-29,27.7,1,0,23.252419354838707
1901-09-30,2.1,2,0,-2.2016129032258065
1901-10-01,6.9,3,0,3.9032258066438863
1901-10-02,0.2,4,0,-2.263709677803901
1901-10-03,0.0,0,1,-3.425
1901-10-04,0.5,1,0,-3.529838709677419
1901-10-05,0.0,0,1,-3.3161290322580643
1901-10-06,5.7,1,0,-0.005645162059415121
1901-10-07,2.2,2,0,-0.9516129028412603
1901-10-08,5.2,3,0,2.1548387100619655
1901-10-09,1.1,4,0,-2.9201612899380343
1901-10-10,0.0,0,1,-3.681451612903226
1901-10-11,0.0,0,2,-4.537903225806452
1901-10-12,0.0,0,3,-5.1387096778039005
1901-10-13,0.0,0,4,-5.15241935483871
1901-10-14,0.1,1,0,-4.7112903241188295
1901-10-15,0.0,0,1,-6.774193554539834
1901-10-16,0.0,0,2,-7.070161290322581
1901-10-17,0.0,0,3,-7.47177419374066
1901-10-18,0.4,1,0,-8.878225806451612
1901-10-19,0.6,2,0,-8.20241935483871
1901-10-20,0.0,0,1,-9.922580645065155
1901-10-21,0.0,0,2,-12.561290322580644
1901-10-22,0.0,0,3,-9.209677422431207
1901-10-23,0.0,0,4,-14.804032258064517
1901-10-24,0.6,1,0,-12.110483870967741
1901-10-25,0.0,0,1,-10.435483870967742
1901-10-26,0.0,0,2,-11.000806445460166
1901-10-27,57.7,1,0,43.579032258064515
1901-10-28,4.4,2,0,-9.55483870967742
1901-10-29,5.1,3,0,-5.505645161290323
1901-10-30,0.0,0,1,-12.610483870967743
1901-10-31,0.9,1,0,-11.655645161290323
1901-11-01,20.9,2,0,7.945161284169842
1901-11-02,68.6,3,0,51.75645161905595
1901-11-03,19.1,4,0,2.8104838709677438
1901-11-04,12.9,5,0,-4.401612901687619
1901-11-05,35.9,6,0,18.088709675881166
1901-11-06,11.1,7,0,-5.733064516513577
1901-11-07,7.1,8,0,-11.241129032258067
1901-11-08,7.0,9,0,-12.71693547771823
1901-11-09,8.0,10,0,-10.533064503823557
1901-11-10,48.8,11,0,31.813709678957537
1901-11-11,53.5,12,0,39.062903225998724
1901-11-12,80.9,13,0,65.58709677419355
1901-11-13,3.0,14,0,-10.173387096774194
1901-11-14,0.0,0,1,-12.500806450843811
1901-11-15,0.0,0,2,-17.31854838748132
1901-11-16,0.0,0,3,-14.463709677419354
1901-11-17,0.0,0,4,-7.533064522281769
1901-11-18,0.0,0,5,-13.078225806547751
1901-11-19,1.2,1,0,-12.437903225806451
1901-11-20,29.4,2,0,15.422580645161288
1901-11-21,16.9,3,0,4.870967741935484
1901-11-22,10.2,4,0,-2.4499999753890513
1901-11-23,0.0,0,1,-11.965322580669195
1901-11-24,0.0,0,2,-13.865322580645161
1901-11-25,0.0,0,3,-13.210483872505925
1901-11-26,0.0,0,4,-17.10564516138646
1901-11-27,0.0,0,5,-15.149193545310727
1901-11-28,0.0,0,6,-14.47741933022776
1901-11-29,0.0,0,7,-15.780645148984847
1901-11-30,11.1,1,0,-0.09516128878439645
1901-12-01,0.7,2,0,-12.291935483895003
1901-12-02,50.5,3,0,38.99112903379625
1901-12-03,7.4,4,0,-6.412096771117179
1901-12-04,0.0,0,1,-19.578225806451613
1901-12-05,0.0,0,2,-16.81048387096774
1901-12-06,0.0,0,3,-11.691129032258065
1901-12-07,0.0,0,4,-12.644354838709678
1901-12-08,69.1,1,0,55.203225806451606
1901-12-09,6.9,2,0,-0.29999999999999893
1901-12-10,9.3,3,0,0.9532258064516128
1901-12-11,4.8,4,0,-1.6403225806451616
1901-12-12,8.6,5,0,3.26290322888282
1901-12-13,0.0,0,1,-6.399193572998048
1901-12-14,0.0,0,2,-6.881451625208701
1901-12-15,0.0,0,3,-6.704838703524682
1901-12-16,0.0,0,4,-8.541129032258064
1901-12-17,0.0,0,5,-6.394354838709678
1901-12-18,1.7,1,0,-5.751612903225806
1901-12-19,0.4,2,0,-6.692741935483871
1901-12-20,1.9,3,0,-5.775806451612903
1901-12-21,26.8,4,0,22.10483871044651
1901-12-22,0.0,0,1,-7.508064515744486
1901-12-23,0.0,0,2,-6.801612903225807
1901-12-24,0.0,0,3,-6.732258064516128
1901-12-25,0.0,0,4,-8.567741935483872
1901-12-26,0.0,0,5,-4.522580645161291
1901-12-27,0.0,0,6,-5.585483870967742
1901-12-28,0.0,0,7,-5.483870967765969
1901-12-29,0.0,0,8,-4.034677419354839
1901-12-30,0.0,0,9,-4.749193548387097
1901-12-31,0.0,0,10,-4.01370968972483
1902-01-01,0.0,0,11,-4.162903225806452
1902-01-02,0.0,0,12,-3.441129032354201
1902-01-03,87.1,1,0,84.92983870967741
1902-01-04,97.4,2,0,95.02661290322581
1902-01-05,11.5,3,0,8.470967741923467
1902-01-06,0.0,0,1,-2.864516129032258
1902-01-07,7.9,1,0,4.197580639008553
1902-01-08,3.1,2,0,-3.620967692713583
1902-01-09,0.0,0,1,-3.205645155137585
1902-01-10,0.0,0,2,-4.063709677419355
1902-01-11,0.0,0,3,-3.1370967741935485
1902-01-12,0.0,0,4,-5.078225806451612
1902-01-13,0.0,0,5,-3.846774193548387
1902-01-14,0.0,0,6,-0.6169354838709677
1902-01-15,0.0,0,7,-2.193548387096774
1902-01-16,0.0,0,8,-0.8903225806451612
1902-01-17,0.0,0,9,-1.7669354838709677
1902-01-18,0.0,0,10,-1.685483870967742
1902-01-19,0.0,0,11,-0.6161290322580646
1902-01-20,0.0,0,12,-4.913709677419355
1902-01-21,0.0,0,13,-3.5870967741935487
1902-01-22,0.0,0,14,-3.6887096774193546
1902-01-23,0.0,0,15,-0.8758064516129032
1902-01-24,0.0,0,16,-0.9112903225806451
1902-01-25,0.0,0,17,-1.0120967741935485
1902-01-26,3.1,1,0,1.9975806451612905
1902-01-27,0.0,0,1,-0.625
1902-01-28,0.0,0,2,-1.296774193548387
1902-01-29,0.0,0,3,-0.7596774193548387
1902-01-30,0.0,0,4,-0.4258064516129032
1902-01-31,0.0,0,5,-0.36774193548387096
1902-02-01,0.0,0,6,-0.32096774193548383
1902-02-02,0.0,0,7,-1.7314516129032258
1902-02-03,0.0,0,8,-1.238709677419355
1902-02-04,0.0,0,9,-0.6717741935483871
1902-02-05,0.0,0,10,-0.6298387096774194
1902-02-06,0.0,0,11,-0.9806451612903226
1902-02-07,0.0,0,12,-2.454032258064516
1902-02-08,0.0,0,13,-1.4637096774193548
1902-02-09,0.0,0,14,-0.7435483870967742
1902-02-10,0.0,0,15,-0.2241935483870968
1902-02-11,0.0,0,16,-0.4620967741935484
1902-02-12,0.0,0,17,-1.1
1902-02-13,5.7,1,0,4.790322580645162
1902-02-14,1.5,2,0,1.120967741935484
1902-02-15,0.0,0,1,-0.785483870967742
1902-02-16,0.0,0,2,-0.8032258064516129
1902-02-17,0.0,0,3,-0.3717741935483871
1902-02-18,0.0,0,4,-0.7161290322580645
1902-02-19,0.0,0,5,-1.1225806451612903
1902-02-20,0.0,0,6,-1.5475806451612903
1902-02-21,0.0,0,7,-1.4056451612903227
1902-02-22,0.0,0,8,-0.6717741935483871
1902-02-23,0.0,0,9,-0.6201612903225807
1902-02-24,0.0,0,10,-0.5
1902-02-25,0.0,0,11,-0.9080645161290322
1902-02-26,0.0,0,12,-0.5387096774193548
1902-02-27,0.0,0,13,-0.5362903225806451
1902-02-28,0.0,0,14,-0.817741935483871
1902-03-01,0.0,0,15,-0.3596774193548387
1902-03-02,0.0,0,16,-0.5709677419354838
1902-03-03,0.0,0,17,-0.8516129032258064
1902-03-04,0.0,0,18,-0.6870967741935484
1902-03-05,0.0,0,19,-1.5233870967741936
1902-03-06,0.0,0,20,-0.657258064516129
1902-03-07,0.0,0,21,-0.6129032258064516
1902-03-08,0.0,0,22,-0.7153225806451613
1902-03-09,0.0,0,23,-0.3959677419354839
1902-03-10,0.0,0,24,-0.714516129032258
1902-03-11,0.0,0,25,-1.0048387096774194
1902-03-12,0.0,0,26,-1.3387096774193548
1902-03-13,0.0,0,27,-0.717741935483871
1902-03-14,0.0,0,28,-2.6588709677419353
1902-03-15,0.0,0,29,-0.6467741935483872
1902-03-16,0.0,0,30,-0.22903225806451613
1902-03-17,0.0,0,31,-0.21693548387096775
1902-03-18,0.0,0,32,-0.24516129032258063
1902-03-19,0.0,0,33,-0.12096774193548387
1902-03-20,0.0,0,34,-0.3129032258064516
1902-03-21,0.0,0,35,-0.3169354838709677
1902-03-22,0.0,0,36,-0.7282258072207052
1902-03-23,0.0,0,37,-0.9790322580645161
1902-03-24,0.0,0,38,-0.30564516129032254
1902-03-25,0.0,0,39,-0.16370967741935485
1902-03-26,0.0,0,40,-0.6895161290322581
1902-03-27,0.0,0,41,-0.2846774193548387
1902-03-28,5.1,1,0,4.267741935483871
1902-03-29,0.0,0,1,-0.8169354838709677
1902-03-30,0.0,0,2,-0.5830645161290323
1902-03-31,0.0,0,3,-0.5153225806451612
1902-04-01,0.0,0,4,-1.445967741935484
1902-04-02,0.0,0,5,-0.4314516129993623
1902-04-03,0.0,0,6,-0.6741935483870968
1902-04-04,0.0,0,7,-1.261290322580645
1902-04-05,0.0,0,8,-1.2419354838709677
1902-04-06,0.0,0,9,-0.5233870967741936
1902-04-07,0.0,0,10,-0.3588709677419355
1902-04-08,0.0,0,11,-0.25806451612903225
1902-04-09,0.0,0,12,-0.4120967741935484
1902-04-10,0.0,0,13,-0.9943548387096774
1902-04-11,0.0,0,14,-1.9314516129032258
1902-04-12,0.0,0,15,-2.5935483870967744
1902-04-13,0.0,0,16,-3.6379032258545196
1902-04-14,0.0,0,17,-2.988709677419355
1902-04-15,0.0,0,18,-0.8669354838709677
1902-04-16,0.0,0,19,-0.5967741935483871
1902-04-17,0.0,0,20,-1.0919354838709678
1902-04-18,0.0,0,21,-1.2701612903225807
1902-04-19,0.0,0,22,-1.1524193548387098
1902-04-20,0.0,0,23,-1.3048387096774194
1902-04-21,0.0,0,24,-1.0516129032258066
1902-04-22,0.0,0,25,-1.4024193548387098
1902-04-23,0.0,0,26,-0.9475806451612904
1902-04-24,0.0,0,27,-0.9258064516129033
1902-04-25,0.0,0,28,-1.1096774193548387
1902-04-26,0.0,0,29,-1.2661290322580645
1902-04-27,0.0,0,30,-0.5701612903225807
1902-04-28,0.0,0,31,-0.6879032258064516
1902-04-29,0.0,0,32,-0.6612903225806451
1902-04-30,0.0,0,33,-0.532258064516129
1902-05-01,0.0,0,34,-1.4733870967741938
1902-05-02,0.0,0,35,-0.7629032258064516
1902-05-03,0.0,0,36,-0.8733870967741936
1902-05-04,0.0,0,37,-1.8435483870967742
1902-05-05,0.0,0,38,-1.5153225806451613
1902-05-06,0.0,0,39,-2.3379032258064516
1902-05-07,0.0,0,40,-3.625806451612903
1902-05-08,0.0,0,41,-1.214516129032258
1902-05-09,0.0,0,42,-1.303225806643886
1902-05-10,0.0,0,43,-1.0112903224845087
1902-05-11,0.0,0,44,-0.960483870967742
1902-05-12,0.0,0,45,-1.011290322580645
1902-05-13,0.0,0,46,-2.7233870967741933
1902-05-14,0.0,0,47,-2.0588709677539527
1902-05-15,0.0,0,48,-0.9862903225806451
1902-05-16,0.0,0,49,-2.584677419450975
1902-05-17,2.2,1,0,-0.5548387219828941
1902-05-18,0.0,0,1,-2.8806451620594147
1902-05-19,0.0,0,2,-1.6911290322580645
1902-05-20,2.0,1,0,-0.06854838709677402
1902-05-21,0.0,0,1,-1.3701612903225806
1902-05-22,0.0,0,2,-0.8693548383251313
1902-05-23,0.0,0,3,-1.0516129028412604
1902-05-24,0.0,0,4,-1.1314516127109526
1902-05-25,0.0,0,5,-1.7741935483870968
1902-05-26,0.0,0,6,-0.957258064516129
1902-05-27,0.0,0,7,-1.8233870967741934
1902-05-28,0.0,0,8,-0.7346774193548387
1902-05-29,2.5,1,0,1.9080645161290322
1902-05-30,0.0,0,1,-0.7250000000000001
1902-05-31,0.0,0,2,-0.5145161290322581
1902-06-01,0.0,0,3,-1.125
1902-06-02,0.0,0,4,-1.525806451612903
1902-06-03,0.2,1,0,-2.5991935453107278
1902-06-04,0.0,0,1,-1.560483870967742
1902-06-05,0.0,0,2,-0.7790322582567891
1902-06-06,0.0,0,3,-1.6233870967741937
1902-06-07,0.0,0,4,-1.5040322584490624
1902-06-08,0.0,0,5,-1.5209677419354841
1902-06-09,6.4,1,0,5.4209677403973
1902-06-10,3.6,2,0,2.8943548387096776
1902-06-11,0.0,0,1,-1.7419354838709677
1902-06-12,0.0,0,2,-1.6169354836786947
1902-06-13,0.5,1,0,-1.2346774193548387
1902-06-14,0.5,2,0,-1.5556451612903226
1902-06-15,0.0,0,1,-1.3338709677419356
1902-06-16,0.0,0,2,-0.8008064516129032
1902-06-17,0.0,0,3,-1.413709677419355
1902-06-18,0.0,0,4,-1.471774193548387
1902-06-19,0.0,0,5,-1.0233870967741936
1902-06-20,28.5,1,0,27.557258064492096
1902-06-21,0.0,0,1,-0.7701612910916728
1902-06-22,0.0,0,2,-0.9854838709677419
1902-06-23,0.0,0,3,-0.9483870967741935
1902-06-24,0.0,0,4,-1.2919354838709676
1902-06-25,0.0,0,5,-0.7459677411663918
1902-06-26,0.1,1,0,-0.49677419354838714
1902-06-27,0.0,0,1,-0.7508064516129032
1902-06-28,0.0,0,2,-0.7862903225806451
1902-06-29,0.0,0,3,-0.7387096774193548
1902-06-30,0.0,0,4,-0.7798387096774194
1902-07-01,0.0,0,5,-1.0524193548387097
1902-07-02,0.0,0,6,-1.7717741966247558
1902-07-03,0.0,0,7,-1.0790322580885503
1902-07-04,0.0,0,8,-2.15241935483871
1902-07-05,0.0,0,9,-1.689516129032258
1902-07-06,0.0,0,10,-1.6274193548387097
1902-07-07,0.0,0,11,-1.9661290322700817
1902-07-08,8.6,1,0,6.3314516129032254
1902-07-09,0.0,0,1,-0.5379032256141786
1902-07-10,0.0,0,2,-1.5048387096774194
1902-07-11,4.1,1,0,2.862096774193548
1902-07-12,0.0,0,1,-1.6483870967741936
1902-07-13,0.0,0,2,-1.4701612903225807
1902-07-14,0.0,0,3,-1.4580645163213053
1902-07-15,3.6,1,0,1.62741935483871
1902-07-16,0.3,2,0,-0.9983870967741935
1902-07-17,0.0,0,1,-1.2838709677659697
1902-07-18,0.0,0,2,-2.342741935483871
1902-07-19,0.0,0,3,-1.1879032258064517
1902-07-20,0.0,0,4,-0.8943548387096775
1902-07-21,0.0,0,5,-1.3653225806451614
